Question,main,sub1,sub2,Description,Description_short,TBD,dim1,dim2,dim3
Q5_2_1,Q5,2,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in administrative roles (front desk, marketing, ER, assessment, et... - Students in administrative roles (front desk, marketing, ER, assessment, etc.) - Undergraduate",NA,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in administrative roles (front desk, marketing, ER, assessment, et...","Students in administrative roles (front desk, marketing, ER, assessment, etc.)",Undergraduate
Q5_2_2,Q5,2,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in administrative roles (front desk, marketing, ER, assessment, et... - Students in administrative roles (front desk, marketing, ER, assessment, etc.) - Graduate",NA,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in administrative roles (front desk, marketing, ER, assessment, et...","Students in administrative roles (front desk, marketing, ER, assessment, etc.)",Graduate
Q5_3_1,Q5,3,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona... - Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties) - Undergraduate",NA,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona...","Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties)",Undergraduate
Q5_3_2,Q5,3,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona... - Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties) - Graduate",NA,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona...","Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties)",Graduate
Q6_1_9,Q6,1,9,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department. - Professional staff - Total # of staff (headcount)",NA,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional staff,Total # of staff (headcount),NA
Q6_1_2,Q6,1,2,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department. - Professional staff - # FT staff, full year (12 months)",NA,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional staff,"# FT staff, full year (12 months)",NA
Q6_1_3,Q6,1,3,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department. - Professional staff - # FT staff, academic year (or less than 12 months)",NA,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional staff,"# FT staff, academic year (or less than 12 months)",NA
Q6_1_4,Q6,1,4,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department. - Professional staff - # PT staff, full year (12 months)",NA,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional staff,"# PT staff, full year (12 months)",NA
Q6_1_5,Q6,1,5,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department. - Professional staff - # PT Staff, academic year (or less than 12 months)",NA,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional staff,"# PT Staff, academic year (or less than 12 months)",NA
Q6_1_10,Q6,1,10,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department. - Professional staff - Total FTE",NA,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional staff,Total FTE,NA
Q7_1_1,Q7,1,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Student Counseling/Advising - Total # of staff involved",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Student Counseling/Advising,Total # of staff involved,NA
Q7_1_2,Q7,1,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Student Counseling/Advising - # FT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Student Counseling/Advising,# FT staff primarily dedicated,NA
Q7_1_3,Q7,1,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Student Counseling/Advising - # PT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Student Counseling/Advising,# PT staff primarily dedicated,NA
Q7_2_1,Q7,2,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Health Professions Advising - Total # of staff involved",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Health Professions Advising,Total # of staff involved,NA
Q7_2_2,Q7,2,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Health Professions Advising - # FT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Health Professions Advising,# FT staff primarily dedicated,NA
