Question,main,sub1,sub2,Description,Description_short,dim1,dim2
Q5_12,Q5,12,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Employer satisfaction,NA
Q5_13,Q5,13,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Other,NA
Q5_13_TEXT,Q5,13,TEXT,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Other,Text
Q6_1_1,Q6,1,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",Student Staff,Students in paraprofessional roles,Undergraduate
Q6_1_2,Q6,1,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",NA,Students in paraprofessional roles,Graduate
Q6_2_1,Q6,2,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",NA,Students in administrative roles,Undergraduate
Q6_2_2,Q6,2,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",NA,Students in administrative roles,Graduate
Q6_3_1,Q6,3,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",NA,"Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties)",Undergraduate
Q6_3_2,Q6,3,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",NA,"Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties)",Graduate
Q7_1_9,Q7,1,9,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional Staff,Professional staff,Total # of staff (headcount)
Q7_1_2,Q7,1,2,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",NA,Professional staff,"# FT staff, full year (12 months)"
Q7_1_3,Q7,1,3,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",NA,Professional staff,"# FT staff, academic year (or less than 12 months)"
Q7_1_4,Q7,1,4,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",NA,Professional staff,"# PT staff, full year (12 months)"
Q7_1_5,Q7,1,5,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",NA,Professional staff,"# PT Staff, academic year (or less than 12 months)"
Q7_1_10,Q7,1,10,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",NA,Professional staff,Total FTE
Q8_1_1,Q8,1,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Professional Staff: Advising,Student Counseling/Advising,Total # of staff involved
Q8_1_2,Q8,1,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Student Counseling/Advising,# FT staff primarily dedicated
Q8_1_3,Q8,1,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Student Counseling/Advising,# PT staff primarily dedicated
Q8_2_1,Q8,2,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Health Professions Advising,Total # of staff involved
Q8_2_2,Q8,2,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Health Professions Advising,# FT staff primarily dedicated
Q8_2_3,Q8,2,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Health Professions Advising,# PT staff primarily dedicated
Q8_3_1,Q8,3,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Alumni Counseling/Advising,Total # of staff involved
Q8_3_2,Q8,3,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Alumni Counseling/Advising,# FT staff primarily dedicated
Q8_3_3,Q8,3,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Alumni Counseling/Advising,# PT staff primarily dedicated
Q8_4_1,Q8,4,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Fellowship Advising,Total # of staff involved
Q8_4_2,Q8,4,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Fellowship Advising,# FT staff primarily dedicated
Q8_4_3,Q8,4,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Fellowship Advising,# PT staff primarily dedicated
Q8_5_1,Q8,5,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Pre-Law Advising,Total # of staff involved
Q8_5_2,Q8,5,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Pre-Law Advising,# FT staff primarily dedicated
